column,dtype,non_null,missing,n_unique
acetonebld_median,float64,2282,558204,92
alanineaminotransferase(alt)_median,float64,185674,374812,801
albumin_median,float64,174330,386156,137
alkphos_median,float64,186701,373785,1105
anc(absneutrophilcount)_median,float64,247591,312895,947
aniongap_median,float64,243463,317023,90
aspartateaminotransferase(ast)_median,float64,183791,376695,907
"b-typenatriureticpeptide,pro(probnp)_median",float64,27185,533301,4296
baseexcess(poc)_median,float64,90941,469545,110
"baseexcess,venous(poc)_median",float64,25033,535453,99
basos_median,float64,247509,312977,96
basosabs_median,float64,51566,508920,187
"benzodiazepinesscreen,urine,noconf._median",float64,14,560472,3
bilirubindirect_median,float64,118265,442221,931
bilirubintotal_median,float64,185812,374674,1741
bun_median,float64,244337,316149,294
bun/creatratio_median,float64,210877,349609,1557
calcium_median,float64,244969,315517,224
calculatedco2(poc)_median,float64,100313,460173,91
calculatedhco3(poc)i_median,float64,84570,475916,1012
calculatedo2saturation(poc)_median,float64,90867,469619,180
chloride_median,float64,244399,316087,123
cktotal_median,float64,40342,520144,1327
co2_median,float64,244346,316140,835
"co2calculated,venous(poc)_median",float64,25012,535474,88
"co2,poc_median",float64,105392,455094,90
creatinine_median,float64,244344,316142,1745
d-dimer_median,float64,26537,533949,1306
egfr_median,float64,17743,542743,152
egfr(nonafricanamerican)_median,float64,58275,502211,235
egfr(aframer)_median,float64,41405,519081,254
eos_median,float64,247510,312976,424
eosinoabs_median,float64,49923,510563,71
epithelialcells_median,float64,31,560455,6
globulin_median,float64,172922,387564,195
glucose_median,float64,244254,316232,1229
"glucose,meter_median",float64,79668,480818,939
"hco3calculated,venous(poc)_median",float64,25038,535448,801
hematocrit_median,float64,248974,311512,1201
hemoglobin_median,float64,248930,311556,464
immaturegrans(abs)_median,float64,48605,511881,42
immaturegranulocytes_median,float64,48619,511867,192
inr_median,float64,137737,422749,1402
"lactate,poc_median",float64,107161,453325,366
lipase_median,float64,121742,438744,965
lymphs_median,float64,247613,312873,1570
magnesium_median,float64,109485,451001,103
mch_median,float64,249783,310703,780
mchc_median,float64,249784,310702,352
mcv_median,float64,249836,310650,1333
monocytes_median,float64,248369,312117,584
monosabs_median,float64,50245,510241,709
mpv_median,float64,249617,310869,349
neutrophils_median,float64,248467,312019,1686
nrbc_median,float64,53206,507280,194
nrbcabsolute_median,float64,50038,510448,47
"o2satcalculated,venous(poc)_median",float64,25017,535469,182
pco2(poc)_median,float64,90948,469538,207
"pco2,venous(poc)_median",float64,25038,535448,173
"ph,venous(poc)_median",float64,25039,535447,170
"phencyclidine(pcp)screen,urine,noconf._median",float64,0,560486,0
phosphorus_median,float64,95010,465476,292
platelets_median,float64,249797,310689,1478
po2(poc)_median,float64,90901,469585,288
"po2,venous(poc)_median",float64,25035,535451,213
pocbun_median,float64,118861,441625,253
poccreatinine_median,float64,118946,441540,453
pocglucose_median,float64,143160,417326,1070
pochematocrit_median,float64,119059,441427,116
pocionizedcalcium_median,float64,119024,441462,127
pocph_median,float64,99699,460787,323
pocpotassium_median,float64,118943,441543,183
pocsodium_median,float64,119084,441402,110
poctroponini._median,float64,4425,556061,53
potassium_median,float64,242467,318019,175
proteintotal_median,float64,171933,388553,223
prothrombintime_median,float64,137674,422812,1369
ptt_median,float64,106145,454341,1148
rbc_median,float64,249809,310677,564
rbc/hpf_median,float64,89371,471115,1097
rdw_median,float64,249834,310652,525
sodium_median,float64,244395,316091,115
troponini(poc)_median,float64,116380,444106,560
troponint_median,float64,42261,518225,270
tsh_median,float64,46018,514468,2733
wbc_median,float64,249845,310641,1173
wbc/hpf_median,float64,90471,470015,1162
bloodua_last,float64,560486,0,2
glucoseua_last,float64,560486,0,2
ketonesua_last,float64,560486,0,2
leukocytesua_last,float64,560486,0,2
nitriteua_last,float64,560486,0,2
pregtestur_last,float64,560486,0,2
proteinua_last,float64,560486,0,2
"bloodculture,routine_last",float64,560486,0,2
"urineculture,routine_last",float64,560486,0,2
bloodua_npos,float64,560486,0,21
glucoseua_npos,float64,560486,0,35
ketonesua_npos,float64,560486,0,20
leukocytesua_npos,float64,560486,0,32
nitriteua_npos,float64,560486,0,12
pregtestur_npos,float64,560486,0,4
proteinua_npos,float64,560486,0,18
"bloodculture,routine_npos",float64,560486,0,2
"urineculture,routine_npos",float64,560486,0,8
bloodua_count,float64,560486,0,46
glucoseua_count,float64,560486,0,46
ketonesua_count,float64,560486,0,46
leukocytesua_count,float64,560486,0,46
nitriteua_count,float64,560486,0,46
pregtestur_count,float64,560486,0,40
proteinua_count,float64,560486,0,46
"bloodculture,routine_count",float64,560486,0,15
"urineculture,routine_count",float64,560486,0,25
triage_vital_hr,float64,394434,166052,421
triage_vital_sbp,float64,392582,167904,527
triage_vital_dbp,float64,392423,168063,382
triage_vital_rr,float64,389999,170487,104
triage_vital_o2,float64,289169,271317,81
triage_vital_o2_device,float64,333631,226855,2
triage_vital_temp,float64,377501,182985,311
pulse_last,float64,335365,225121,147
resp_last,float64,320472,240014,55
spo2_last,float64,244276,316210,40
temp_last,float64,254086,306400,140
sbp_last,float64,336214,224272,193
dbp_last,float64,336092,224394,133
o2_device_last,float64,298058,262428,2
pulse_min,float64,348057,212429,132
resp_min,float64,347215,213271,37
spo2_min,float64,327587,232899,40
temp_min,float64,346226,214260,141
sbp_min,float64,347875,212611,191
dbp_min,float64,347855,212631,115
o2_device_min,float64,342042,218444,2
pulse_max,float64,348057,212429,201
resp_max,float64,347215,213271,62
spo2_max,float64,327587,232899,34
temp_max,float64,346226,214260,131
sbp_max,float64,347875,212611,204
dbp_max,float64,347855,212631,179
o2_device_max,float64,342042,218444,2
pulse_median,float64,348057,212429,261
resp_median,float64,347215,213271,72
spo2_median,float64,327587,232899,57
temp_median,float64,346226,214260,312
sbp_median,float64,347875,212611,330
dbp_median,float64,347855,212631,219
o2_device_median,float64,342042,218444,3
cxr_count,float64,560486,0,42
echo_count,float64,560486,0,10
ekg_count,float64,560486,0,82
headct_count,float64,560486,0,34
mri_count,float64,560486,0,9
otherct_count,float64,560486,0,21
otherimg_count,float64,560486,0,14
otherus_count,float64,560486,0,29
otherxr_count,float64,560486,0,48
meds_analgesicandantihistaminecombination,float64,560486,0,3
meds_analgesics,float64,560486,0,9
meds_anesthetics,float64,560486,0,4
meds_anti-obesitydrugs,float64,560486,0,3
meds_antiallergy,float64,560486,0,2
meds_antiarthritics,float64,560486,0,6
meds_antiasthmatics,float64,560486,0,10
meds_antibiotics,float64,560486,0,7
meds_anticoagulants,float64,560486,0,6
meds_antidotes,float64,560486,0,3
meds_antifungals,float64,560486,0,5
meds_antihistamineanddecongestantcombination,float64,560486,0,3
meds_antihistamines,float64,560486,0,6
meds_antihyperglycemics,float64,560486,0,9
